token,name_family,pc_path,xbox_xenon_path,psn_ps3_path,zombie_goty_path,surrounding_state_or_function,classification,patchability,notes
LaunchAvatarPicker,FUI script event,"imports/fuieventmonitor.wsc; public pc_scripts/fuieventmonitor.c","public xbox360_scripts (standard)/fuieventmonitor.c; public xbox360_scripts (goty)/fuieventmonitor.c",not found in local PSN text scan yet,"imports/fuieventmonitor_z.wsc; public pc_scripts/fuieventmonitor_z.c; public xbox360_scripts (goty)/fuieventmonitor_z.c","fuieventmonitor Function_80 checks DECOR_CHECK_STRING Param LaunchAvatarPicker; PC handler sets Global_124888 = 4294967294","script event / runtime actor-profile logic","SCXML redirect first; WSC constant only if later needed","Strongest trigger token. Existing lobby confirmation sends NetMachine.SendScriptEvent('LaunchAvatarPicker')."
NetConf_AvatarPicker,UI confirmation,"logs/content_mp_scxml_zstd_probe/decoded/root_content_ui_pausemenu_lobby_main.sc.xml.decoded.xml","same logical route in public/decompiled MP UI references not directly file-compared",not found yet,unknown,"lobby/main UIMessageBox asks confirmation, leaves posse, sends LaunchAvatarPicker, stackPush(HudSceneOnline)","UI-only route","SCXML copy/redirect","Networking.sc.xml already references goto(NetConf_AvatarPicker) but does not define the messagebox locally."
mp_fe_avatarpicker_tab,UI tab text,"logs/content_mp_scxml_zstd_probe/decoded/root_content_ui_pausemenu_networking.sc.xml.decoded.xml",unknown,unknown,unknown,"online NetTabs button at networking.sc.xml lines 84-89 routes to NetConf_AvatarPicker","UI-only route","SCXML button copy","Offline NetOfflineTabs lacks this avatar button; patch candidate adds it there."
nMPProfile,UI state / FUI owner,"public pc_scripts/fuieventmonitor.c; imports/fuieventmonitor.wsc strings",public xbox standard/goty fuieventmonitor.c,not found yet,public PC/zombie and xbox goty z,"fuieventmonitor handles nMPProfile Mount_Selected and Prestige","runtime profile logic","reference-only now","The name is handled in WSC, not found as an SCXML id in decoded UI. Likely engine/FUI state."
Net_Profile_Mount_Select,UI list id,"logs/content_mp_scxml_zstd_probe/decoded/root_content_ui_net_profileeditor_main.sc.xml.decoded.xml; fuieventmonitor.wsc strings",public xbox standard/goty fuieventmonitor.c,not found yet,public PC/zombie and xbox goty z,"Mount_Selected reads UI_GET_SELECTED_INDEX and maps to actor enum string","runtime mount/profile logic","reference-only or SCXML route","fuieventmonitor maps selected index to rideable actor enum with GET_ACTOR_ENUM_FROM_STRING."
Net_titles,UI list id,"logs/content_mp_scxml_zstd_probe/decoded/root_content_ui_pausemenu_net_titles.sc.xml.decoded.xml; fuieventmonitor.wsc strings",public xbox standard/goty fuieventmonitor.c,not found yet,public PC/zombie and xbox goty z,"Title_Selected updates MPP_TitleValue and MpTitleStringId","runtime title/profile logic","reference-only or SCXML route","Title path updates Global_122919 and profile stat."
MPP_TitleValue,UI label,"logs/content_mp_scxml_zstd_probe/decoded/root_content_ui_pausemenu_net_profile.sc.xml.decoded.xml; fuieventmonitor.wsc strings",public xbox standard/goty fuieventmonitor.c,not found yet,public PC/zombie and xbox goty z,"UI_SET_TEXT and title stat update path","UI/profile display","reference-only","Useful proof that profile tab and title editor are connected."
MP_AvatarQuit,UI confirmation,"logs/content_mp_scxml_zstd_probe/decoded/root_content_ui_net_profileeditor_main.sc.xml.decoded.xml; fuieventmonitor.wsc strings",public xbox standard/goty fuieventmonitor.c,not found yet,public PC/zombie and xbox goty z,"fuieventmonitor writes AvatarQuit decor when RollOver_Yes selected","UI/profile blocker","SCXML route if needed","Exit confirmation is part of the profile editor lane."
MP_ProfileEditor,UI layer,"logs/content_mp_scxml_zstd_probe/decoded/root_content_ui_net_profileeditor_main.sc.xml.decoded.xml",unknown,unknown,unknown,"UILayer id MP_ProfileEditor contains avatar/mount/title profile editor menu","UI-only / avatar picker surface","SCXML include/direct-enter candidate","Direct Enter(MP_ProfileEditor) is a fallback if script event does not wake the picker."
MP_AvatarGroupSelector,UI list,"logs/content_mp_scxml_zstd_probe/decoded/root_content_ui_net_profileeditor_main.sc.xml.decoded.xml",unknown,unknown,unknown,"Avatar button target Enter(MP_AvatarGroupSelector)","UI-only / avatar group selection","SCXML direct-enter fallback","This is the actual avatar category list inside profile editor UI."
mp_avatarpicker,resource/string family,"research/menu resources/ImportedFileNames.txt; extracted root stringtables under game/BACKUP BEFORE MODDING/rdr1/mods/root/content/stringtable",xbox string families listed in ImportedFileNames,ps3 string families listed as mp_avatarpicker_ps3-*.xst/.sst/.cst,unknown,"mp_avatarpicker-en.wst/.cst/.sst and mp_avatarpicker_win32.strtbl names exist in filename index","stringtable/resource dependency","resource restore/check","Avatar picker has dedicated localized stringtables; PC/root reference has cst entries."
fileStartingMPWithoutAutoSave,save/profile blocker,"decoded savegame.sc.xml research from prior MP UI work",unknown,unknown,unknown,"savegame dialog blocker family","save/profile blocker","separate optional patch only","Do not mix into first avatar route patch unless picker explicitly blocks on save."
NetMachine.Authenticate,auth blocker,"networking.sc.xml; netstats decoded XML; PlayMpConf.sc",unknown,unknown,unknown,"Online/Public/Private/LAN flow auth gates","auth blocker","report-only now","Avatar route candidate avoids Authenticate and sends LaunchAvatarPicker through existing UI event."
